submission_time_oar,total_energy_consumption
1561454235,1262845408342.0305
1561454235,1362487540516.785
1561454235,1296895885825.0076
1561454235,1301287263706.1938
1561708662,1553618366289.683
1561708662,1597042626148.7195
1561708662,1455867363541.2925
1561708662,1487733269008.9397
1561708709,1526665727352.5757
1561708709,1532246502718.5198
1561708709,1415325784251.8591
1561708709,1530661293581.5127
1561721317,17790943704.121212
1561721317,19977881372.030304
1561727384,1582440001170.0469
1561727384,1657460306516.344
1561727384,1536637405755.559
1561727384,1451996637274.1333
1561968127,799683336566.2091
1561968127,889792070284.0985
1561968127,835903248914.1909
1561968127,804538973766.8698
1561968194,733737753847.6075
1561968194,778678862085.7833
1561968194,760794302961.6212
1561968194,805540149244.2273
1562072639,2865766849.340909
1562072639,7567299880.204545
1562072639,2972867237.0
1562072639,7801647930.416667
1562080114,1570569527900.5288
1562080114,1676642312952.5881
1562080114,1571063985342.0562
1562080114,1567466529680.1787
1562241461,1513701679284.8384
1562241461,1450132990947.8435
1562241461,1468410432199.1335
1562241461,1462244497028.6035
1562602915,105498404963.82727
1562602915,117604742055.5106
1562602915,114241190538.6894
1562602915,122822578659.9697
1562623791,1447053799533.1318
1562623791,1448230559847.3152
1562624170,1372470454565.0603
1562624170,1505772793158.2605
1562624170,1445393106438.6577
1562624170,1530505767195.2576
1562624642,1454709060354.318
1562624642,1514398868809.8472
1562624642,1514946384665.2107
1562624642,1516896192482.606
