submission_time_oar,total_energy_consumption
1561436840,456111797827.84705
1561436840,504459449613.6348
1561436840,480612317407.9955
1561436840,499749034112.9262
1561436840,502412622394.7091
1561436840,520953130814.7016
1561446833,164277462970.47726
1561446833,167113751087.08636
1561446833,163386950470.88745
1561446833,167440690425.60693
1561446833,163051976383.92874
1561446833,170086875321.79395
1561446833,151642796362.3985
1561446833,170503765843.79092
1561446873,168113619858.50494
1561446873,174642632010.21387
1561446873,166351325626.51514
1561446873,174645700524.84244
1561446873,164781759006.6621
1561446873,169576500311.45605
1561446918,517269828601.803
1561446918,583801445742.323
1561446918,512827928251.8456
1561446918,531507391883.1751
1561524591,108605790318.33333
1561524591,109142025495.1894
1561524591,108351262173.69698
1561524591,109216702660.98483
1561524591,97659979806.5606
1561524591,104539219314.5303
1561524683,414385117901.6364
1561524683,429870692240.5985
1561524683,371334483394.7121
1561524683,389874569079.3848
1561525039,179998089959.52274
1561525039,213936476784.41666
1561531479,49421076554.27879
1561531479,55189616141.73334
1561531479,51120868490.780304
1561531479,53528298737.74242
1561532628,54106942828.643936
1561532628,55355414824.583336
1561532628,53876911687.99242
1561532628,55302620983.80303
1561532628,49583922525.97727
1561532628,54391088070.51515
1561532628,49448495313.02273
1561532628,52133004274.02728
1561535091,47742007597.72727
1561535091,51714786902.24242
1561535091,46284801920.48485
1561535091,48835508219.51515
1561535091,48343338186.59242
1561535091,50394055948.431816
1561539449,104458995706.98483
1561539449,110006372679.28787
1561539449,100208601653.6894
1561539449,106573803463.0303
1561539504,105307924564.05302
1561539504,110241857180.66667
1561539504,108412074208.17424
1561539504,110672210249.31818
1561539504,105975067871.41667
1561539504,110466505692.84848
1561539504,99014522657.18182
1561539504,104471460641.1894
1561542379,405377092112.7273
1561542379,417659633759.7
1561542379,404581521890.3591
1561542379,421962348661.3319
1561542379,368399478012.1212
1561542379,399377244932.1091
1561544382,104051271082.59392
1561544382,107605688891.65758
1561544382,96208108188.60606
1561544382,106912989677.06818
1561544382,91213028921.11363
1561544382,94688055527.63637
1561551500,400029202295.7409
1561551500,440057088949.2241
1561551500,412314548661.3242
