submission_time_oar,total_energy_consumption
1561676650,22511326119.65152
1561676650,22685940430.484848
1561676650,22370125637.12121
1561676650,22690637542.81818
1561762296,17007501820.787878
1561762296,18907531265.560604
1561762296,18316631649.204544
1561762296,18901850800.492424
1561762296,17128289898.136362
1561762296,18430504051.219696
1561765314,63099047609.84849
1561765314,67114317539.34091
1561765442,33237049449.060608
1561765442,35346860873.72727
1561766589,17023753374.007574
1561766589,18883862986.022728
1561766589,18343635683.18182
1561766589,18919696998.416668
1561766589,17118687468.742426
1561766589,18452009372.848484
1561767199,34365096962.757576
1561767199,36533813610.954544
1561767228,83012922766.0197
1561767228,88272927068.86969
1561806604,16853313689.189394
1561806604,18740082354.79091
1561806604,18140677443.21212
1561806604,18675001930.06818
1561806604,16974593763.416666
1561806604,18156199268.35606
1561985253,102308956779.12727
1561985253,101608779217.65303
1561985253,103202677968.7111
1561985253,103455579122.44748
1561985253,95466523882.97728
1561985253,101836813511.40152
1561990162,16737340429.878788
1561990162,18690609910.628788
1561990162,17924188126.871212
1561990162,18500544131.053032
1561990162,16825312775.560606
1561990162,18010065843.734848
1561990194,87580631620.06061
1561990194,93977586687.15907
1561990289,95948554620.57576
1561990289,95391360594.42424
1561990289,95963908887.67424
1561990289,90948579130.9697
1561990289,86765733858.03787
1561990289,93558562179.75
1561990295,86374946501.5485
1561990295,89644711586.29698
1561990295,83721599767.27272
1561990295,85451434483.40909
1561990295,86883623713.96213
1561990295,90577093761.34093
1562005413,89574221536.34091
1562005413,96336264721.6894
1562005421,97180640948.99394
1562005421,96573612224.8894
1562005421,97147512407.78787
1562005421,91979820930.72728
1562005421,87838423209.56061
1562005421,94697862145.16667
1562010119,65420759401.74241
1562010119,61687361012.606064
1562010119,61977608134.00302
1562010119,66155129190.410614
1562010119,63788158108.72575
1562010119,66477051382.831825
1562016509,86209284090.80606
1562016509,92591766621.04546
1562016509,91824828392.49243
1562016509,93106647818.99243
1562016517,96179299880.0606
1562016517,95956148065.66516
1562016517,95964118170.49243
1562016517,90843350244.81818
1562016517,86798421447.63637
1562016517,93584125545.45454
1562016648,94299388684.14394
1562016648,88981109548.98485
1562016648,89180533579.50757
1562016648,95462932601.37877
1562016648,91977067743.01666
1562016648,95664431898.34242
1562053155,97468886534.24243
1562053155,97216886493.0303
1562053155,97800705869.11363
1562053155,97961983984.93182
1562053155,89387708005.76819
1562053155,97617021676.05
1562053165,97225922137.30153
1562053165,97402457763.69847
1562053165,95326312915.15152
1562053165,91768271354.7197
1562162304,50446926040.487885
1562162304,51505495844.681816
1562162304,53978737690.56818
1562162304,51755530028.356064
1562162304,51592107488.23485
1562162304,51854111662.810616
1562162482,50247392613.95
1562162482,52167116043.5394
1562162482,48786442761.88636
1562162482,49883091775.371216
1562162482,45277694857.6106
1562162482,52191791911.44242
1562167586,96397407028.5606
1562167586,91277126127.06818
1562167586,94363456989.59093
1562167586,93904172626.26517
1562167619,97062089367.70454
1562167619,96433905679.28787
1562167619,97713220268.20758
1562167619,97737712617.30606
